"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1158","TC 2 - Invalid Username and Invalid Password","chromium","2026-08-25","passed","2026-08-25","","tests\Login.spec.js","",""
"","11457","End To End Execution TestCase","webkit","2026-08-25","passed","2026-08-25","","tests\EndToEndExecution.spec.js","",""
"","4396","TC 1 - Login and Logout","webkit","2026-08-25","passed","2026-08-25","","tests\Logout.spec.js","",""
"","1126","TC 4 - Invalid Username and Valid Password","chromium","2026-08-25","passed","2026-08-25","","tests\Login.spec.js","",""
"","1172","TC 5 - Empty Username and Empty Password","chromium","2026-08-25","passed","2026-08-25","","tests\Login.spec.js","",""
"","2561","TC 1 - Login and Checkout Product","chromium","2026-08-25","passed","2026-08-25","","tests\CheckOut.spec.js","",""
"","4019","End To End Execution TestCase","firefox","2026-08-25","passed","2026-08-25","","tests\EndToEndExecution.spec.js","",""
"","980","has title","webkit","2026-08-25","passed","2026-08-25","","tests\example.spec.js","",""
"","4215","SMOKE TEST - Login → Add to Cart → Checkout → Logout","firefox","2026-08-25","passed","2026-08-25","","SmokeTest\SmokeTest.spec.js","",""
"","2431","TC 3 - Valid Username and Invalid Password","firefox","2026-08-25","passed","2026-08-25","","tests\Login.spec.js","",""
"","9408","TC 1 - Login and Add Product to Cart","webkit","2026-08-25","passed","2026-08-25","","tests\AddToCart.spec.js","",""
"","1178","TC 3 - Valid Username and Invalid Password","chromium","2026-08-25","passed","2026-08-25","","tests\Login.spec.js","",""
"","2983","TC 2 - Invalid Username and Invalid Password","webkit","2026-08-25","passed","2026-08-25","","tests\Login.spec.js","",""
"","5979","TC 1 - Valid Username and Valid Password","webkit","2026-08-25","passed","2026-08-25","","tests\Login.spec.js","",""
"","2448","End To End Execution TestCase","chromium","2026-08-25","passed","2026-08-25","","tests\EndToEndExecution.spec.js","",""
"","4021","TC 1 - Valid Username and Valid Password","firefox","2026-08-25","passed","2026-08-25","","tests\Login.spec.js","",""
"","688","has title","chromium","2026-08-25","passed","2026-08-25","","tests\example.spec.js","",""
"","1876","TC 1 - Valid Username and Valid Password","chromium","2026-08-25","passed","2026-08-25","","tests\Login.spec.js","",""
"","943","get started link","chromium","2026-08-25","passed","2026-08-25","","tests\example.spec.js","",""
"","1376","get started link","webkit","2026-08-25","passed","2026-08-25","","tests\example.spec.js","",""
"","14706","TC 2 - Invalid Username and Invalid Password","firefox","2026-08-25","passed","2026-08-25","","tests\Login.spec.js","",""
"","2679","TC 5 - Empty Username and Empty Password","webkit","2026-08-25","passed","2026-08-25","","tests\Login.spec.js","",""
"","3894","TC 1 - Login and Checkout Product","firefox","2026-08-25","passed","2026-08-25","","tests\CheckOut.spec.js","",""
"","15475","SMOKE TEST - Login → Add to Cart → Checkout → Logout","webkit","2026-08-25","passed","2026-08-25","","SmokeTest\SmokeTest.spec.js","",""
"","3451","TC 1 - Login and Add Product to Cart","firefox","2026-08-25","passed","2026-08-25","","tests\AddToCart.spec.js","",""
"","1721","has title","firefox","2026-08-25","passed","2026-08-25","","tests\example.spec.js","",""
"","2773","TC 4 - Invalid Username and Valid Password","webkit","2026-08-25","passed","2026-08-25","","tests\Login.spec.js","",""
"","1988","TC 1 - Login and Add Product to Cart","chromium","2026-08-25","passed","2026-08-25","","tests\AddToCart.spec.js","",""
"","1632","TC 3 - Valid Username and Invalid Password","webkit","2026-08-25","passed","2026-08-25","","tests\Login.spec.js","",""
"","2837","get started link","firefox","2026-08-25","passed","2026-08-25","","tests\example.spec.js","",""
"","2362","TC 1 - Login and Logout","firefox","2026-08-25","passed","2026-08-25","","tests\Logout.spec.js","",""
"","3433","SMOKE TEST - Login → Add to Cart → Checkout → Logout","chromium","2026-08-25","passed","2026-08-25","","SmokeTest\SmokeTest.spec.js","",""
"","1435","TC 5 - Empty Username and Empty Password","firefox","2026-08-25","passed","2026-08-25","","tests\Login.spec.js","",""
"","1389","TC 4 - Invalid Username and Valid Password","firefox","2026-08-25","passed","2026-08-25","","tests\Login.spec.js","",""
"","2323","TC 1 - Login and Logout","chromium","2026-08-25","passed","2026-08-25","","tests\Logout.spec.js","",""
"","13630","TC 1 - Login and Checkout Product","webkit","2026-08-25","passed","2026-08-25","","tests\CheckOut.spec.js","",""
